,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
336,337,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Fantasy', 'Romance', 'Historical', 'Mythology', 'Shoujo']"
337,338,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Drama', 'Horror', 'Mystery', 'Psychological']"
338,339,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Drama', 'Mystery', 'Romance', 'Psychological', 'School', 'Seinen']"
339,340,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Drama', 'Romance', 'Sci-Fi', 'Love Polygon', 'School', 'Time Travel', 'Shoujo']"
340,341,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Adventure', 'Award Winning', 'Drama', 'Supernatural', 'Shounen']"
341,342,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Drama', 'School', 'Seinen']"
342,343,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Romance', 'School']"
343,344,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Action', 'Adventure', 'Fantasy', 'Time Travel']"
344,345,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Action', 'Fantasy', 'Survival']"
345,346,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Drama', 'Villainess']"
346,347,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Fantasy', 'Isekai', 'Seinen']"
347,348,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Action', 'Drama', 'Horror', 'Suspense', 'Gore']"
348,349,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Comedy', 'Drama', 'Romance', 'Crossdressing', 'Love Polygon', 'School', 'Shoujo']"
349,350,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi', 'Adult Cast', 'Seinen']"
350,351,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Action', 'Adventure', 'Shounen']"
351,352,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Action', 'Adventure', 'Comedy', 'Romance', 'Samurai']"
352,353,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Drama', 'Romance', 'Slice of Life', 'Historical', 'Music', 'Josei']"
353,354,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Drama', 'Psychological', 'School', 'Seinen']"
354,355,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Romance', 'Love Status Quo', 'School', 'Seinen']"
355,356,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Action', 'Martial Arts']"
356,357,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Comedy', 'Drama', 'Romance', 'Shoujo']"
357,358,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Adventure', 'Award Winning', 'Fantasy', 'Shounen']"
358,359,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Comedy', 'Slice of Life', 'Supernatural']"
