,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
544,545,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Award Winning', 'Comedy', 'Drama', 'Racing', 'Shounen']"
545,546,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Award Winning', 'Comedy', 'Drama', 'Sports', 'Team Sports', 'Shounen']"
546,547,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Comedy', 'Drama', 'Romance', 'Otaku Culture', 'Psychological', 'Shounen']"
547,548,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Boys Love', 'Horror', 'Mystery', 'Supernatural', 'Historical', 'Shoujo']"
548,549,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Action', 'Adventure', 'Drama']"
549,550,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'Historical', 'Reincarnation', 'Shoujo']"
550,551,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Action', 'Adventure', 'Gore', 'Martial Arts']"
551,552,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Action', 'Comedy', 'Supernatural', 'Childcare', 'Delinquents', 'Mythology', 'School', 'Shounen']"
552,553,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Action', 'Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Love Polygon', 'Mecha', 'Military', 'School']"
553,554,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Romance', 'School', 'Shoujo']"
554,555,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Adventure', 'Mystery', 'Sci-Fi', 'Seinen']"
555,556,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Drama', 'Fantasy', 'Slice of Life', 'Childcare']"
556,557,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Fantasy', 'Slice of Life', 'Iyashikei', 'Seinen']"
557,558,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Fantasy', 'Supernatural']"
558,559,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Slice of Life', 'Memoir']"
559,560,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Slice of Life', 'Memoir']"
560,561,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Drama', 'Fantasy', 'Romance', 'Psychological', 'Villainess']"
561,562,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Action', 'Supernatural', 'Shounen']"
562,563,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Comedy', 'Romance', 'Adult Cast', 'Workplace', 'Seinen']"
563,564,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Fantasy', 'Slice of Life']"
564,565,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Award Winning', 'Comedy', 'Romance', 'Shoujo']"
565,566,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Award Winning', 'Comedy', 'Drama', 'Supernatural', 'Strategy Game', 'Shounen']"
566,567,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Shounen']"
567,568,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Boys Love', 'Drama', 'Delinquents', 'Psychological', 'School']"
568,569,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Action', 'Drama', 'Suspense', 'Detective', 'Psychological', 'Shounen']"
569,570,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Award Winning', 'Boys Love', 'Drama', 'Historical', 'Shoujo']"
570,571,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'School', 'Vampire', 'Shounen']"
571,572,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Award Winning', 'Drama', 'Historical', 'Samurai', 'Shoujo']"
572,573,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Award Winning', 'Anthropomorphic', 'Shounen']"
573,574,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Award Winning', 'Sports', 'School', 'Shounen']"
574,575,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel', 'Seinen']"
575,576,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Boys Love', 'Slice of Life', 'School']"
576,577,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Comedy', 'Adult Cast', 'Organized Crime']"
577,578,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Fantasy', 'Isekai', 'Reincarnation', 'Seinen']"
578,579,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Comedy', 'Drama', 'Romance', 'Crossdressing', 'Harem', 'School', 'Shoujo']"
579,580,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'School']"
580,581,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
581,582,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Romance', 'Historical']"
582,583,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Action', 'Fantasy', 'Isekai', 'School']"
583,584,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Action', 'Fantasy', 'Time Travel']"
584,585,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Fantasy', 'Horror', 'Mystery', 'Romance']"
585,586,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,['Fantasy']
586,587,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Action', 'Comedy', 'Organized Crime', 'School', 'Super Power', 'Shounen']"
587,588,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Award Winning', 'Comedy', 'Delinquents', 'Gag Humor', 'Shounen']"
588,589,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']"
589,590,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Boys Love', 'Slice of Life', 'School']"
590,591,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Award Winning', 'Drama', 'Historical', 'Seinen']"
591,592,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Comedy', 'Sports', 'School', 'Team Sports', 'Shounen']"
592,593,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Romance', 'School', 'Shoujo']"
593,594,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Action', 'Drama', 'Fantasy', 'Supernatural', 'Psychological', 'Super Power', 'Shoujo']"
594,595,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural', 'Gore', 'Psychological', 'Survival', 'Seinen']"
595,596,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Mystery', 'Supernatural', 'Detective', 'Shounen']"
596,597,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Action', 'Adventure', 'Supernatural', 'Shounen']"
597,598,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Action', 'Comedy', 'Fantasy', 'Shounen']"
598,599,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Action', 'Adventure', 'Kids']"
599,600,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Action', 'Drama', 'Sci-Fi', 'Martial Arts', 'Shounen']"
600,601,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Drama', 'Horror', 'Mystery', 'Psychological']"
601,602,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Comedy', 'Delinquents', 'School', 'Shoujo']"
602,603,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Action', 'Sci-Fi', 'Mecha', 'Shounen']"
603,604,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Romance', 'Adult Cast', 'Love Status Quo']"
604,605,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Drama', 'Fantasy', 'Mahou Shoujo', 'Psychological']"
605,606,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Award Winning', 'Comedy', 'Romance', 'Love Status Quo', 'School', 'Shounen']"
606,607,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Comedy', 'Military', 'School', 'Seinen']"
607,608,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Comedy', 'Slice of Life', 'Historical', 'Seinen']"
608,609,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Mystery', 'Romance', 'Supernatural', 'School']"
609,610,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Action', 'Supernatural', 'Martial Arts', 'Shoujo']"
610,611,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Drama', 'Performing Arts']"
611,612,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,['Girls Love']
612,613,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Supernatural', 'School']"
613,614,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Video Game', 'Shounen']"
614,615,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Fantasy', 'Romance', 'Time Travel']"
615,616,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Action', 'Fantasy', 'Martial Arts']"
616,617,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Comedy', 'Fantasy']"
617,618,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Comedy', 'Mystery', 'Romance', 'Slice of Life', 'School']"
618,619,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Comedy', 'Romance', 'Slice of Life', 'Iyashikei']"
619,620,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Drama', 'Showbiz', 'Visual Arts', 'Shounen']"
620,621,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Drama', 'Horror', 'Mystery']"
621,622,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Award Winning', 'Drama', 'Mystery', 'Supernatural', 'Detective', 'Shounen']"
622,623,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Comedy', 'Romance', 'School', 'Shoujo']"
623,624,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Martial Arts', 'Shounen']"
624,625,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Drama', 'Fantasy', 'Sci-Fi', 'Slice of Life', 'Supernatural', 'Seinen']"
625,626,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Drama', 'Adult Cast', 'Psychological', 'Strategy Game', 'Seinen']"
626,627,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Award Winning', 'Drama', 'Historical', 'Seinen']"
627,628,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Boys Love', 'Comedy', 'Adult Cast', 'Organized Crime']"
628,629,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Comedy', 'Gag Humor', 'Seinen']"
629,630,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Action', 'Supernatural', 'Historical', 'Shoujo']"
630,631,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,['Fantasy']
631,632,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Boys Love', 'Drama', 'Supernatural']"
632,633,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Boys Love', 'Comedy', 'Supernatural', 'Adult Cast', 'Workplace']"
633,634,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Adventure', 'Fantasy', 'Slice of Life', 'Psychological']"
634,635,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Action', 'Supernatural', 'Shounen']"
635,636,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Drama', 'Fantasy', 'Romance']"
636,637,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Action', 'Adventure', 'Fantasy', 'Super Power', 'Shounen']"
637,638,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Drama', 'Romance', 'Supernatural']"
638,639,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
639,640,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Comedy', 'Romance', 'School', 'Shoujo']"
640,641,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Reincarnation', 'Space', 'Shoujo']"
641,642,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Girls Love', 'School', 'Seinen']"
642,643,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Slice of Life', 'School', 'Shounen']"
643,644,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Fantasy', 'Mahou Shoujo']"
644,645,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Drama', 'Romance', 'Sci-Fi', 'Love Polygon', 'School', 'Time Travel']"
645,646,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Action', 'Fantasy', 'Super Power', 'Urban Fantasy', 'Vampire', 'Shounen']"
646,647,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Drama', 'Fantasy', 'Horror', 'Mahou Shoujo', 'School']"
647,648,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Drama', 'Mystery', 'Sci-Fi']"
648,649,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Romance', 'Shoujo']"
649,650,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Comedy', 'Romance', 'Adult Cast', 'Crossdressing']"
