Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
357,358,Kengan Ashura,8.26,Manga,27 vols,Apr 2012,Aug 2018,61584,"['Adventure', 'Award Winning', 'Fantasy', 'Shounen']"
358,359,Houkago Kitaku Biyori,8.26,Manga,unfinished,Aug 2023,unfinished,5908,"['Comedy', 'Slice of Life', 'Supernatural']"
359,360,Dengeki Daisy,8.26,Manga,16 vols,May 2007,Dec 2013,119570,"['Action', 'Supernatural', 'School', 'Shounen']"
360,361,Magi,8.26,Manga,37 vols,Jun 2009,Oct 2017,155924,"['Boys Love', 'Drama', 'School']"
361,362,Yomawari Sensei,8.26,Manga,9 vols,Oct 2004,Dec 2008,15933,"['Romance', 'Sports', 'School', 'Team Sports', 'Shounen']"
362,363,Kuragehime,8.25,Manga,17 vols,Oct 2008,Aug 2017,44401,"['Comedy', 'Romance', 'School', 'Shounen']"
363,364,Sunny,8.25,Manga,6 vols,Dec 2010,Jul 2015,22428,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
364,365,Ansatsu Kyoushitsu,8.25,Manga,21 vols,Jul 2012,Apr 2016,161496,"['Adventure', 'Fantasy', 'Mystery', 'Suspense', 'Isekai', 'Survival']"
365,366,Sword Art Online: Progressive,8.25,Light Novel,unfinished,Oct 2012,unfinished,22906,['Boys Love']
366,367,Feng Shen Ji III,8.25,Manhua,unfinished,2012,2014,11003,"['Award Winning', 'Comedy', 'Crossdressing', 'Visual Arts', 'Josei']"
367,368,Boku no Kokoro no Yabai Yatsu,8.25,Manga,unfinished,Mar 2018,unfinished,58246,"['Award Winning', 'Drama', 'Seinen']"
368,369,Kage no Jitsuryokusha ni Naritakute!,8.25,Manga,unfinished,Dec 2018,unfinished,79516,"['Action', 'Comedy', 'School', 'Shounen']"
369,370,Urasekai Picnic,8.25,Novel,unfinished,Feb 2017,unfinished,3210,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Video Game']"
370,371,Hachimitsu to Clover,8.25,Manga,10 vols,Apr 2000,Jul 2006,24982,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts', 'Seinen']"
371,372,Saiyuuki Gaiden,8.25,Manga,4 vols,May 1999,May 2009,11031,"['Action', 'Comedy', 'Romance', 'School', 'Shounen']"
372,373,Liar Game,8.25,Manga,19 vols,Feb 2005,Jan 2015,118666,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Love Polygon', 'Visual Arts', 'Josei']"
373,374,Hikari to Tomo ni...: Jiheishouji wo Kakaete,8.25,Manga,15 vols,Sep 2000,Apr 2009,6075,"['Action', 'Adventure', 'Fantasy']"
374,375,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,8.25,Manga,unfinished,Feb 2007,unfinished,30163,"['Drama', 'High Stakes Game', 'Psychological', 'Strategy Game', 'Seinen']"
375,376,Yuki no Yousei,8.25,Manga,1 vols,Jul 2021,Jan 2022,4205,"['Award Winning', 'Drama', 'Slice of Life', 'Childcare', 'Psychological', 'Josei']"
376,377,Pick Me Up,8.24,Manhwa,unfinished,Dec 2022,unfinished,22051,"['Action', 'Comedy', 'Sci-Fi', 'Super Power']"
377,378,Hidamari ga Kikoeru: Limit,8.24,Manga,3 vols,Oct 2016,Dec 2019,7584,"['Action', 'Drama', 'Racing', 'Seinen']"
378,379,Feng Shen Ji II,8.24,Manhua,unfinished,2011,2012,13804,"['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life', 'Adult Cast', 'Psychological', 'Space', 'Workplace', 'Seinen']"
379,380,Initial D,8.24,Manga,48 vols,Jun 1995,Jul 2013,31517,"['Action', 'Adventure', 'Shounen']"
380,381,Planetes,8.24,Manga,4 vols,Jan 1999,Jan 2004,58731,"['Action', 'Fantasy', 'Isekai', 'Video Game']"
381,382,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.24,Manga,17 vols,Dec 1999,Apr 2003,209114,"['Boys Love', 'Slice of Life']"
382,383,Kishuku Gakkou no Juliet,8.24,Manga,16 vols,Jul 2015,Sep 2019,63559,"['Boys Love', 'Drama', 'Slice of Life', 'School']"
383,384,Koimonogatari,8.24,Manga,unfinished,May 2013,unfinished,15396,"['Comedy', 'Romance', 'Slice of Life', 'Historical', 'Shounen']"
384,385,Taishou Otome Otogibanashi,8.24,Manga,5 vols,Jul 2015,Sep 2017,25959,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts']"
385,386,Beastars,8.23,Manga,22 vols,Sep 2016,Oct 2020,116307,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Shoujo']"
386,387,Kaichou wa Maid-sama!: Marriage,8.23,Manga,1 vols,Nov 2013,Apr 2018,17309,"['Adventure', 'Sci-Fi', 'Seinen']"
387,388,Act-age,8.23,Manga,12 vols,Jan 2018,Aug 2020,52796,"['Comedy', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Josei']"
388,389,King's Maker,8.23,Manhwa,3 vols,Apr 2017,Nov 2017,12919,"['Action', 'Comedy', 'Drama', 'Romance', 'Delinquents', 'School', 'Shounen']"
389,390,Ren Zha Fanpai Zijiu Xitong,8.23,Novel,3 vols,Jul 2017,Jul 2017,3698,"['Comedy', 'Drama', 'Slice of Life', 'Sports', 'Delinquents', 'School', 'Team Sports', 'Shounen']"
390,391,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.23,Light Novel,unfinished,Jan 2013,unfinished,30618,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
391,392,Hai to Gensou no Grimgar,8.23,Light Novel,unfinished,Jun 2013,unfinished,23207,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sports', 'Seinen']"
392,393,Petshop of Horrors,8.23,Manga,10 vols,1995,1998,34906,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']"
393,394,Shonan Junai Gumi!,8.23,Manga,31 vols,Sep 1990,Sep 1996,23240,"['Comedy', 'Girls Love', 'CGDCT', 'Gag Humor', 'School']"
394,395,Rookies,8.23,Manga,24 vols,Feb 1998,Aug 2003,25166,"['Award Winning', 'Drama', 'Slice of Life', 'Anthropomorphic', 'Psychological', 'Shounen']"
395,396,Kamigami no Itadaki,8.23,Manga,5 vols,Feb 2000,Mar 2003,16730,"['Comedy', 'Romance', 'School', 'Shoujo']"
396,397,Diamond no Ace,8.23,Manga,47 vols,May 2006,Jul 2015,24806,"['Action', 'Adventure', 'Fantasy']"
397,398,Yuru Yuri,8.23,Manga,unfinished,Jun 2008,unfinished,15404,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']"
398,399,No.6,8.23,Manga,9 vols,Jan 2011,Nov 2013,50206,"['Drama', 'Performing Arts', 'Showbiz', 'Shounen']"
399,400,Steins;Gate: Aishin Meizu no Babel,8.23,Manga,4 vols,May 2012,Jan 2014,4720,"['Boys Love', 'Drama', 'Fantasy']"
400,401,Danshi Koukousei no Nichijou,8.22,Manga,7 vols,May 2009,Sep 2012,26423,"['Boys Love', 'Drama', 'Supernatural', 'Historical', 'Isekai', 'Mythology', 'Reincarnation']"
401,402,Summertime Render,8.22,Manga,13 vols,Oct 2017,Feb 2021,55217,"['Mystery', 'Supernatural', 'Suspense', 'Time Travel', 'Shounen']"
402,403,Jigokuraku,8.22,Manga,13 vols,Jan 2018,Jan 2021,174231,"['Action', 'Fantasy', 'Historical', 'Shounen']"
403,404,"Mata, Onaji Yume wo Miteita",8.22,Novel,1 vols,Feb 2016,Feb 2016,3993,"['Comedy', 'Gag Humor', 'School']"
404,405,Hikaru ga Shinda Natsu,8.22,Manga,unfinished,Aug 2021,unfinished,49842,"['Horror', 'Mystery', 'Supernatural']"
405,406,Semantic Error,8.22,Manhwa,unfinished,Jul 2020,Oct 2023,8389,['Boys Love']
406,407,Ghost Hunt,8.22,Manga,12 vols,Dec 1997,Sep 2010,16652,"['Comedy', 'Slice of Life', 'School', 'Shounen']"
407,408,Boogiepop Series,8.22,Light Novel,unfinished,Feb 1998,unfinished,11632,"['Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Psychological', 'Shoujo']"
408,409,Sanctuary,8.22,Manga,12 vols,1990,1995,35972,"['Horror', 'Mystery', 'Psychological']"
409,410,Cat Street,8.22,Manga,8 vols,Jul 2004,Sep 2007,34688,"['Drama', 'Suspense', 'Detective', 'Organized Crime', 'Seinen']"
410,411,Akagami no Shirayuki-hime,8.22,Manga,unfinished,Aug 2006,unfinished,72363,"['Drama', 'Romance', 'Love Polygon', 'Showbiz', 'Shoujo']"
411,412,GTO: Shonan 14 Days,8.22,Manga,9 vols,Jun 2009,Nov 2011,25366,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Delinquents', 'Shounen']"
412,413,Private Opinion: Banana Fish Another Story,8.22,Manga,1 vols,Dec 1995,Dec 1995,4607,"['Action', 'Drama', 'Shoujo']"
413,414,Yugami-kun ni wa Tomodachi ga Inai,8.22,Manga,16 vols,May 2012,May 2019,30410,"['Comedy', 'Drama', 'Slice of Life', 'Otaku Culture', 'School', 'Seinen']"
414,415,Tsurezure Children,8.21,Manga,12 vols,Aug 2014,Jul 2018,60233,"['Drama', 'Romance', 'School', 'Seinen']"
415,416,A Stepmother's Märchen,8.21,Manhwa,unfinished,Jul 2019,unfinished,17226,"['Action', 'Drama', 'Sci-Fi', 'Suspense', 'Gore', 'Psychological', 'Seinen']"
416,417,Boku ga Otto ni Deau made,8.21,Manga,1 vols,Apr 2020,Feb 2021,7588,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense', 'Psychological', 'Survival', 'Shoujo']"
417,418,Gimai Seikatsu,8.21,Light Novel,unfinished,Jan 2021,unfinished,12667,"['Adventure', 'Boys Love', 'Fantasy', 'Isekai', 'Shoujo']"
418,419,"Tadaima, Okaeri",8.21,Manga,unfinished,Nov 2015,unfinished,6911,"['Action', 'Adventure', 'Historical', 'Military']"
419,420,Majo to Yajuu,8.21,Manga,10 vols,Nov 2016,Jan 2023,20115,"['Drama', 'Slice of Life', 'Seinen']"
420,421,Steins;Gate 0,8.21,Manga,6 vols,Jul 2017,Feb 2020,5683,"['Action', 'Delinquents', 'School', 'Shounen']"
421,422,NieR:Automata,8.21,Novel,3 vols,Aug 2017,Jul 2018,12437,"['Slice of Life', 'CGDCT', 'Iyashikei', 'School', 'Seinen']"
422,423,Genshiken,8.21,Manga,21 vols,Apr 2002,Aug 2016,42229,"['Drama', 'Fantasy', 'Romance', 'Time Travel']"
423,424,Hourou Musuko,8.21,Manga,15 vols,Nov 2002,Jul 2013,30589,"['Boys Love', 'Drama', 'Memoir']"
424,425,Eden: It's an Endless World!,8.21,Manga,18 vols,Sep 1997,Jun 2008,64687,"['Romance', 'Slice of Life']"
425,426,7 Seeds,8.21,Manga,35 vols,Oct 2001,May 2017,25048,['Drama']
426,427,Silver Diamond,8.21,Manga,27 vols,Aug 2003,May 2012,8600,"['Comedy', 'Romance', 'School', 'Shounen']"
427,428,The Ravages of Time,8.21,Manhua,unfinished,Jun 2001,unfinished,15168,"['Boys Love', 'Slice of Life', 'Childcare']"
428,429,Solanin,8.21,Manga,2 vols,Jun 2005,Apr 2006,125969,"['Action', 'Fantasy', 'Seinen']"
429,430,Crows,8.21,Manga,26 vols,1990,1998,28165,"['Drama', 'Mystery', 'Sci-Fi', 'Seinen']"
430,431,Toradora!,8.21,Light Novel,10 vols,Mar 2006,Mar 2009,28345,"['Action', 'Fantasy', 'Sci-Fi']"
431,432,Non Non Biyori,8.21,Manga,16 vols,Sep 2009,Feb 2021,12778,"['Comedy', 'Slice of Life', 'Mahou Shoujo']"
432,433,How to Win My Husband Over,8.21,Manhwa,unfinished,Oct 2021,unfinished,13615,"['Adventure', 'Fantasy']"
433,434,See You in My 19th Life,8.20,Manhwa,12 vols,Jun 2020,Sep 2022,12613,"['Action', 'Mecha', 'Shounen']"
434,435,Mairimashita! Iruma-kun: If Episode of Mafia,8.20,Manga,unfinished,Sep 2023,unfinished,2088,"['Drama', 'Romance', 'Psychological', 'School', 'Shounen']"
435,436,Majo no Tabitabi,8.20,Light Novel,unfinished,Apr 2016,unfinished,12126,"['Award Winning', 'Drama', 'Romance', 'Shoujo']"
436,437,Machikado Mazoku,8.20,Manga,unfinished,Jun 2014,unfinished,9894,"['Fantasy', 'Romance', 'Sci-Fi', 'Harem', 'School', 'Urban Fantasy']"
437,438,Dead Dead Demons Dededede Destruction,8.20,Manga,12 vols,Apr 2014,Feb 2022,81245,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Josei']"
438,439,Romance 101,8.20,Manhwa,11 vols,Mar 2018,May 2021,7121,"['Drama', 'Romance', 'Love Polygon', 'School']"
439,440,Saiyuuki Reload,8.20,Manga,10 vols,Mar 2002,Jun 2009,8568,"['Horror', 'Mystery', 'Romance', 'Supernatural', 'School', 'Shounen']"
440,441,Tasogare Otome x Amnesia,8.20,Manga,10 vols,Apr 2008,Sep 2013,48799,"['Award Winning', 'Drama', 'Sci-Fi', 'School', 'Seinen']"
441,442,Getter Robo Saga,8.20,Manga,9 vols,,unfinished,2528,"['Romance', 'Reincarnation']"
442,443,Aku no Hana,8.20,Manga,11 vols,Sep 2009,May 2014,170294,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Villainess']"
443,444,Taiyou no Ie,8.20,Manga,13 vols,Apr 2010,May 2015,96048,"['Fantasy', 'Organized Crime', 'Shounen']"
444,445,Date A Live,8.20,Light Novel,22 vols,Mar 2011,Mar 2020,19804,"['Comedy', 'Romance', 'School']"
445,446,Innocent,8.19,Manga,9 vols,Jan 2013,Apr 2015,64250,"['Comedy', 'Mystery', 'Romance', 'Slice of Life', 'School']"
446,447,Yoake no Uta,8.19,Manga,unfinished,Aug 2020,unfinished,3753,"['Fantasy', 'Romance', 'Isekai', 'Reincarnation']"
447,448,Debut or Die!,8.19,Manhwa,unfinished,Aug 2022,unfinished,3118,"['Drama', 'Supernatural', 'Reincarnation', 'Showbiz', 'Seinen']"
448,449,Dr. Stone,8.19,Manga,27 vols,Mar 2017,Dec 2023,201339,"['Adventure', 'Award Winning', 'Sci-Fi', 'Suspense', 'Survival', 'Shounen']"
449,450,Bishoujo Senshi Sailor Moon,8.19,Manga,18 vols,Dec 1991,Feb 1997,57553,"['Boys Love', 'Fantasy']"
450,451,Meteor Methuselah,8.19,Manga,11 vols,Aug 1998,May 2011,20332,"['Drama', 'Idols (Male)', 'Psychological', 'Reincarnation', 'Time Travel']"
451,452,Historie,8.19,Manga,unfinished,Jan 2003,unfinished,26389,"['Award Winning', 'Drama', 'Fantasy', 'Romance', 'Mahou Shoujo', 'Shoujo']"
452,453,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,8.19,Manga,7 vols,Dec 2004,May 2018,7810,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo']"
453,454,Cheese in the Trap Season 4,8.19,Manhwa,7 vols,Sep 2015,Mar 2017,9071,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Seinen']"
454,455,Why Raeliana Ended Up at the Duke's Mansion,8.19,Manhwa,unfinished,Sep 2017,Mar 2021,41587,"['Drama', 'Historical', 'Seinen']"
455,456,[Oshi no Ko],8.19,Manga,16 vols,Apr 2020,Nov 2024,199289,"['Action', 'Adventure', 'Fantasy', 'Mystery']"
456,457,Shinai naru Boku e Satsui wo Komete,8.18,Manga,11 vols,May 2018,Sep 2020,47288,"['Drama', 'Mystery', 'Suspense', 'Psychological', 'Seinen']"
457,458,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,8.18,Manga,unfinished,Sep 2019,unfinished,4519,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel', 'Seinen']"
458,459,Nano Machine,8.18,Manhwa,unfinished,Jun 2020,unfinished,29875,"['Drama', 'Girls Love', 'School']"
459,460,Hirunaka no Ryuusei,8.18,Manga,12 vols,May 2011,Nov 2014,95358,"['Romance', 'Love Polygon', 'School', 'Shoujo']"
460,461,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,8.18,Light Novel,12 vols,Apr 2011,Apr 2015,15401,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Mythology']"
461,462,xxxHOLiC: Rei,8.18,Manga,4 vols,Mar 2013,Mar 2017,14340,"['Drama', 'Mystery', 'Supernatural', 'Seinen']"
462,463,Rokka no Yuusha,8.18,Light Novel,6 vols,Aug 2011,Jul 2015,14857,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Supernatural', 'Shounen']"
463,464,Yuu☆Yuu☆Hakusho,8.18,Manga,19 vols,Nov 1990,Jul 1994,74629,"['Comedy', 'Drama', 'Romance', 'Sports', 'School', 'Team Sports', 'Shounen']"
464,465,H2,8.18,Manga,34 vols,1992,1999,12009,"['Action', 'Drama', 'Adult Cast', 'Organized Crime', 'Psychological', 'Strategy Game']"
465,466,Akagi: Yami ni Oritatta Tensai,8.18,Manga,36 vols,Jun 1991,Feb 2018,13680,"['Boys Love', 'Fantasy', 'Supernatural', 'Shoujo']"
466,467,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.18,Manga,17 vols,Nov 1995,Mar 1999,115674,"['Action', 'Adventure', 'Organized Crime', 'Shounen']"
467,468,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,8.18,Manga,8 vols,Jun 2008,Apr 2011,10563,"['Adventure', 'Fantasy']"
468,469,I Love Amy,8.18,Manhwa,unfinished,Jan 2022,Jun 2023,2008,"['Drama', 'Horror', 'Mystery', 'Psychological']"
469,470,Bokura no Shokutaku,8.18,Manga,1 vols,Nov 2015,Jan 2017,14729,"['Boys Love', 'Slice of Life', 'Childcare']"
470,471,Cheese in the Trap Season 3,8.17,Manhwa,12 vols,Jan 2013,Aug 2015,9937,"['Comedy', 'Mystery', 'Romance', 'Slice of Life', 'School']"
471,472,High School DxD,8.17,Light Novel,25 vols,Sep 2008,Mar 2018,35490,"['Comedy', 'Slice of Life', 'Pets']"
472,473,Last Game,8.17,Manga,11 vols,Aug 2011,Jun 2016,102591,"['Fantasy', 'Girls Love', 'School']"
473,474,Fushigi Neko no Kyuu-chan,8.17,Manga,8 vols,Jan 2018,Dec 2022,8201,"['Award Winning', 'Romance', 'Supernatural', 'Vampire', 'Shounen']"
474,475,Kimi ga Shinu made Koi wo Shitai,8.17,Manga,unfinished,Aug 2018,unfinished,12892,"['Drama', 'Fantasy', 'Romance']"
475,476,Yofukashi no Uta,8.17,Manga,20 vols,Aug 2019,Jan 2024,101192,"['Action', 'Comedy', 'Shounen']"
476,477,Your Throne,8.17,Manhwa,unfinished,Jan 2020,unfinished,25429,"['Comedy', 'Romance', 'School']"
477,478,Sakamoto Days,8.17,Manga,unfinished,Nov 2020,unfinished,134665,"['Drama', 'Romance', 'Psychological', 'Showbiz', 'Shoujo']"
478,479,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8.17,Light Novel,unfinished,Feb 2021,unfinished,18759,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'Mythology', 'School']"
479,480,Tsukuritai Onna to Tabetai Onna,8.17,Manga,unfinished,Jan 2021,unfinished,6427,"['Comedy', 'Romance', 'Shoujo']"
480,481,Murderous Lewellyn's Candlelit Dinner,8.17,Manhwa,6 vols,Jun 2020,Feb 2022,1648,"['Girls Love', 'Slice of Life', 'Josei']"
481,482,Koori no Mamono no Monogatari,8.17,Manga,24 vols,Aug 1995,Jun 2003,4555,"['Mystery', 'Romance', 'Supernatural', 'Time Travel']"
482,483,The One,8.17,Manhua,18 vols,Jan 2005,Feb 2014,22680,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Martial Arts']"
483,484,Uzumaki,8.16,Manga,3 vols,Jan 1998,Aug 1999,240451,"['Boys Love', 'Suspense', 'Historical']"
484,485,Fushigi Yuugi: Genbu Kaiden,8.16,Manga,12 vols,Mar 2003,Feb 2013,12987,"['Boys Love', 'Comedy', 'Adult Cast', 'Video Game']"
485,486,Ookiku Furikabutte,8.16,Manga,unfinished,Sep 2003,unfinished,10066,"['Action', 'Shoujo']"
486,487,Touhou Shinigami: Meteor Methuselah Gaiden,8.16,Manga,1 vols,Oct 2004,Jun 2007,5499,"['Comedy', 'Supernatural']"
487,488,Tonikaku Kawaii,8.16,Manga,unfinished,Feb 2018,unfinished,88001,"['Award Winning', 'Slice of Life']"
488,489,Bungou Stray Dogs: Dead Apple,8.16,Manga,4 vols,Mar 2018,Jun 2023,7130,"['Drama', 'Romance', 'Seinen']"
489,490,Yamada-kun to Lv999 no Koi wo Suru,8.16,Manga,unfinished,Mar 2019,unfinished,58067,"['Action', 'Adventure', 'Super Power', 'Shounen']"
490,491,Can't See Can't Hear But Love,8.16,Manhwa,6 vols,Oct 2010,Aug 2011,19656,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts']"
491,492,Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,8.16,Light Novel,1 vols,Sep 2011,Sep 2011,14840,"['Comedy', 'Slice of Life', 'Pets', 'Shoujo']"
492,493,Feng Shen Ji,8.16,Manhua,unfinished,2010,2011,27590,"['Comedy', 'Romance', 'Shounen']"
493,494,Nukozuke!,8.16,Manga,unfinished,Apr 2012,unfinished,10896,"['Action', 'Mystery', 'Supernatural', 'Detective']"
494,495,"Kinou no Haru de, Kimi wo Matsu",8.16,Light Novel,1 vols,Apr 2020,Apr 2020,2865,"['Romance', 'Video Game']"
495,496,Virtual Strangers,8.16,Manhwa,unfinished,Jun 2023,unfinished,2960,"['Drama', 'Horror', 'Supernatural', 'Seinen']"
496,497,Shingeki no Kyojin: Kuinaki Sentaku,8.16,Manga,2 vols,Nov 2013,Jun 2014,53853,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Historical', 'Isekai', 'Magical Sex Shift', 'Shoujo']"
497,498,Fukigen na Mononokean,8.16,Manga,18 vols,Sep 2013,Apr 2021,13421,"['Award Winning', 'Comedy', 'Sports', 'Team Sports', 'Seinen']"
498,499,Otouto no Otto,8.16,Manga,4 vols,Sep 2014,May 2017,13527,"['Action', 'Drama', 'Fantasy', 'Shoujo']"
499,500,Helck,8.15,Manga,12 vols,May 2014,Dec 2017,42500,"['Award Winning', 'Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']"
500,501,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,8.15,Manga,22 vols,Dec 2012,Jan 2023,9942,"['Action', 'Horror', 'Romance', 'Supernatural', 'Vampire']"
501,502,Hidamari ga Kikoeru,8.15,Manga,1 vols,Dec 2013,Aug 2014,34111,"['Award Winning', 'Slice of Life', 'Seinen']"
502,503,Mystery to Iu nakare,8.15,Manga,unfinished,Nov 2017,unfinished,10391,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi', 'School', 'Shounen']"
503,504,Shin High School DxD,8.15,Light Novel,unfinished,Jul 2018,unfinished,4644,"['Award Winning', 'Boys Love', 'Drama', 'Psychological', 'Shoujo']"
504,505,Ase to Sekken,8.15,Manga,11 vols,Jun 2018,Jan 2021,44581,"['Romance', 'School']"
505,506,Sasayaku You ni Koi wo Utau,8.15,Manga,unfinished,Feb 2019,unfinished,37624,['Boys Love']
506,507,Something About Us,8.15,Manhwa,5 vols,Oct 2014,Oct 2016,29346,"['Award Winning', 'Mystery', 'Josei']"
507,508,Doukyuusei: Gold Ring & Silver Ring,8.15,Manga,1 vols,Nov 2016,Nov 2016,8556,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'Mythology', 'School']"
508,509,Sayonara Zetsubou Sensei,8.15,Manga,30 vols,Apr 2005,Jun 2012,32391,"['Comedy', 'Romance', 'Workplace', 'Seinen']"
509,510,Shingetsutan Tsukihime,8.15,Manga,10 vols,Aug 2003,Jul 2010,43070,"['Girls Love', 'School']"
510,511,Soredemo Machi wa Mawatteiru,8.15,Manga,16 vols,Mar 2005,Oct 2016,10461,"['Action', 'Fantasy']"
511,512,Sora no Otoshimono,8.15,Manga,20 vols,Mar 2007,Feb 2014,45170,"['Comedy', 'Romance', 'Love Polygon', 'School', 'Seinen']"
512,513,Zankoku na Kami ga Shihai suru,8.15,Manga,17 vols,May 1992,May 2001,10304,"['Boys Love', 'Slice of Life', 'School']"
513,514,Mahouka Koukou no Rettousei,8.15,Light Novel,32 vols,Jul 2011,Sep 2020,30791,"['Action', 'Fantasy', 'Romance', 'Sci-Fi', 'School', 'Urban Fantasy']"
514,515,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.15,Manga,3 vols,Apr 2012,Apr 2013,16309,"['Drama', 'Shounen']"
515,516,Binbougami ga!,8.14,Manga,16 vols,Jun 2008,Jul 2013,20155,"['Comedy', 'Supernatural', 'Mythology', 'Shounen']"
516,517,Hoshi Mamoru Inu,8.14,Manga,1 vols,Jul 2008,Jan 2009,20495,"['Slice of Life', 'Pets', 'Seinen']"
517,518,Dai Densetsu no Yuusha no Densetsu,8.14,Light Novel,unfinished,Oct 2007,unfinished,3087,"['Romance', 'School', 'Shoujo']"
518,519,Ao Haru Ride,8.14,Light Novel,6 vols,Dec 2011,Jun 2015,26186,"['Action', 'Comedy', 'Fantasy', 'Mahou Shoujo']"
519,520,Fate/kaleid liner Prisma☆Illya 3rei!!,8.14,Manga,unfinished,May 2012,unfinished,10360,"['Drama', 'Horror', 'Mahou Shoujo', 'School', 'Seinen']"
520,521,Mahou Shoujo Madoka★Magica: The Different Story,8.14,Manga,3 vols,Jun 2012,Nov 2012,17264,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Josei']"
521,522,No.6 Beyond,8.14,Novel,1 vols,Nov 2012,Nov 2012,4915,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo']"
522,523,Kimetsu no Yaiba,8.14,Manga,23 vols,Feb 2016,May 2020,467829,"['Comedy', 'Drama', 'Romance', 'Adult Cast', 'Seinen']"
523,524,Yakusoku no Neverland,8.14,Manga,20 vols,Aug 2016,Jun 2020,321409,"['Award Winning', 'Romance', 'Slice of Life', 'Historical', 'Seinen']"
524,525,Heesu in Class 2,8.14,Manhwa,4 vols,Nov 2017,Jun 2019,6797,"['Action', 'Drama', 'Sci-Fi', 'Martial Arts', 'Seinen']"
525,526,Kareshi Kanojo no Jijou,8.14,Manga,21 vols,Dec 1995,May 2005,40216,"['Comedy', 'Romance', 'Slice of Life', 'Shoujo']"
526,527,Maison Ikkoku,8.14,Manga,15 vols,Oct 1980,Apr 1987,19286,"['Award Winning', 'Drama', 'Medical', 'Psychological', 'Seinen']"
527,528,Emma,8.14,Manga,10 vols,Dec 2001,Feb 2008,30184,"['Action', 'Adventure', 'Historical', 'Vampire', 'Shounen']"
528,529,Gunnm: Last Order,8.14,Manga,19 vols,Jul 2001,Jan 2014,25675,"['Award Winning', 'Drama', 'Historical', 'Military']"
529,530,Shiawase Kissa 3-choume,8.14,Manga,15 vols,Dec 2004,Aug 2009,19269,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Shounen']"
530,531,Iryuu: Team Medical Dragon,8.14,Manga,25 vols,Nov 2002,Jan 2011,12844,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School', 'Shounen']"
531,532,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,8.14,Manga,7 vols,Oct 1987,Mar 1989,110679,"['Action', 'Drama', 'Psychological', 'School', 'Seinen']"
532,533,Adolf ni Tsugu,8.14,Manga,4 vols,Dec 1982,May 1985,25092,"['Supernatural', 'Detective', 'Shoujo']"
