Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
88,89,ReLIFE,8.63,Manga,15 vols,Oct 2013,Mar 2018,167636,"['Action', 'Historical', 'Samurai', 'Seinen']"
89,90,Golden Kamuy,8.63,Manga,31 vols,Aug 2014,Apr 2022,99855,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']"
90,91,Overlord,8.62,Light Novel,unfinished,Jul 2012,unfinished,65323,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life', 'Iyashikei', 'Shounen']"
91,92,Aria,8.62,Manga,12 vols,Feb 2002,Feb 2008,40584,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense', 'Detective', 'Psychological', 'Seinen']"
92,93,Pluto,8.62,Manga,8 vols,Sep 2003,Apr 2009,129187,"['Action', 'Fantasy', 'Isekai']"
93,94,Mob Psycho 100,8.61,Manga,16 vols,Apr 2012,Dec 2017,122167,"['Action', 'Award Winning', 'Comedy', 'Supernatural', 'Super Power']"
94,95,Seishun Buta Yarou Series,8.61,Light Novel,15 vols,Apr 2014,Oct 2024,28351,"['Drama', 'Romance', 'Supernatural', 'School']"
95,96,Ao Ashi,8.61,Manga,unfinished,Jan 2015,unfinished,35253,"['Adventure', 'Mystery', 'School']"
96,97,Blue Period,8.61,Manga,unfinished,Jun 2017,unfinished,132770,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy']"
97,98,Koten-bu Series,8.61,Novel,unfinished,Oct 2001,unfinished,19097,"['Award Winning', 'Sports', 'Team Sports', 'Seinen']"
98,99,Omniscient Reader's Viewpoint,8.61,Manhwa,unfinished,May 2020,unfinished,137819,"['Award Winning', 'Drama', 'School', 'Visual Arts', 'Seinen']"
99,100,Skip to Loafer,8.60,Manga,unfinished,Aug 2018,unfinished,44363,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']"
100,101,Kono Subarashii Sekai ni Shukufuku wo!,8.60,Light Novel,17 vols,Oct 2013,May 2020,55885,"['Action', 'Adventure', 'Drama', 'Delinquents', 'Shoujo']"
101,102,Banana Fish,8.60,Manga,19 vols,Apr 1985,Mar 1994,60915,"['Award Winning', 'Drama', 'School', 'Seinen']"
102,103,Usogui,8.60,Manga,49 vols,May 2006,Dec 2017,45247,['Romance']
103,104,Seasons of Blossom,8.59,Manhwa,12 vols,Jun 2020,Mar 2023,14567,"['Boys Love', 'Comedy']"
104,105,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.59,Manga,4 vols,Oct 2017,Sep 2019,30059,"['Romance', 'Love Polygon']"
105,106,19 Tian,8.59,Manhua,unfinished,Oct 2018,unfinished,11559,"['Award Winning', 'Drama', 'Romance', 'Music', 'School', 'Shounen']"
106,107,Shigatsu wa Kimi no Uso,8.59,Manga,11 vols,Apr 2011,Feb 2015,82931,"['Drama', 'Adult Cast', 'High Stakes Game', 'Psychological', 'Strategy Game', 'Seinen']"
