FilmID,Title,ReleaseDate,DirectorID,StudioID,CountryID,LanguageID,GenreID,RunTimeMinutes,CertificateID,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1335,28 Weeks Later,26-04-2007,415,113,240,1,10,100,6,15000000,64200000,0,0
1336,127 Hours,04-09-2010,108,221,240,1,19,93,5,18000000,60700000,6,0
1337,Trance,19-03-2013,108,172,240,1,14,101,5,20000000,24300000,0,0
1338,Steve Jobs,05-09-2015,108,43,241,1,19,122,5,30000000,34400000,2,0
1339,Life of Pi,28-09-2012,8,79,241,1,8,127,2,120000000,609000000,11,4
1340,Terminator Genisys,22-06-2015,144,2,241,1,3,126,4,155000000,440600000,0,0
1341,Maggie,22-04-2015,416,228,241,1,10,95,5,4500000,1400000,0,0
1342,Sabotage,19-03-2014,181,229,241,1,14,109,5,35000000,18400000,0,0
1343,Escape Plan,09-10-2013,417,108,241,1,4,115,5,50000000,137300000,0,0
1344,The Last Stand,18-01-2013,418,46,241,1,4,107,5,45000000,48300000,0,0
1345,Terminator Salvation,21-05-2009,419,5,241,1,3,115,4,200000000,371400000,0,0
1346,Collateral Damage,04-02-2002,83,6,241,1,4,108,5,85000000,78300000,0,0
1347,The 6th Day,28-10-2000,47,5,241,1,3,124,5,82000000,96100000,0,0
1348,End of Days,16-11-1999,420,230,241,1,10,123,6,100000000,212000000,0,0
1349,Batman & Robin,20-06-1997,204,104,241,1,4,125,2,140000000,238200000,0,0
1350,Jingle All the Way,16-11-1996,208,4,241,1,26,89,2,75000000,129800000,0,0
1351,Junior,23-11-1994,94,1,241,1,7,109,2,60000000,108400000,1,0
1352,Total Recall,03-08-2012,49,128,241,1,3,118,4,125000000,198500000,0,0
1353,True Grit,22-12-2010,5,2,241,1,1,110,5,38000000,252300000,10,0
1354,Red Heat,14-06-1988,250,15,241,1,4,103,6,29000000,35000000,0,0
1355,Predator,12-06-1987,58,52,241,1,3,107,6,18000000,98300000,1,0
1356,Raw Deal,06-06-1986,421,96,241,1,4,107,6,11000000,18100000,0,0
1357,Commando,04-10-1985,422,52,241,1,4,90,6,10000000,57500000,0,0
1358,X-Men: The Last Stand,25-05-2006,57,53,241,1,4,104,4,210000000,459400000,0,0
1359,Red Sonja,03-07-1985,297,96,269,1,12,89,5,17900000,6900000,0,0
1360,Conan the Destroyer,29-06-1984,297,96,241,1,12,101,5,18000000,100000000,0,0
1361,Conan the Barbarian,16-03-1982,423,96,241,1,12,129,5,16000000,130000000,0,0
1362,Conan the Barbarian,11-08-2011,424,80,241,1,12,113,5,90000000,48800000,0,0
1363,Pumping Iron,18-01-1977,425,231,241,1,24,85,3,1000000,,0,0
1364,Hercules in New York,16-12-1969,426,232,241,1,7,91,2,,,0,0
1365,3 Days to Kill,12-02-2014,419,196,79,1,9,117,4,28000000,52600000,0,0
1366,This Means War,17-02-2012,419,28,241,1,4,97,4,65000000,156500000,0,0
1367,We Are Marshall,22-12-2006,419,43,241,1,2,131,2,65000000,43500000,0,0
1368,X-Men: First Class,25-05-2011,427,53,241,1,4,132,4,160000000,353600000,0,0
